CustomerID|CustomerName|BillToCustomerID|CustomerCategoryID|BuyingGroupID|PrimaryContactPersonID|AlternateContactPersonID|DeliveryMethodID|DeliveryCityID|PostalCityID|CreditLimit|AccountOpenedDate|StandardDiscountPercentage|IsStatementSent|IsOnCreditHold|PaymentDays|PhoneNumber|FaxNumber|DeliveryRun|RunPosition|WebsiteURL|DeliveryAddressLine1|DeliveryAddressLine2|DeliveryPostalCode|DeliveryLocation|PostalAddressLine1|PostalAddressLine2|PostalPostalCode|LastEditedBy|ValidFrom|ValidTo
803|"Bala Dixit"|803|3||3003||3|33799|33799|2100.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(209) 555-0100"|"(209) 555-0101"|""|""|"http://www.microsoft.com/BalaDixit/"|"Unit 7"|"844 Magnusson Lane"|"90676"|POINT (-120.4602262 40.8657308)|"PO Box 8565"|"Blahoville"|"90676"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
831|"Bhaavan Rai"|831|7||3031||3|5966|5966|4079.25|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(308) 555-0100"|"(308) 555-0101"|""|""|"http://www.microsoft.com/BhaavanRai/"|"Shop 28"|"387 Heikkinen Boulevard"|"90474"|POINT (-96.1502969 41.1838878)|"PO Box 290"|"Thachville"|"90474"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
867|"Jasna Cerkez"|867|5||3067||3|10367|10367|3885.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(304) 555-0100"|"(304) 555-0101"|""|""|"http://www.microsoft.com/JasnaCerkez/"|"Unit 11"|"1004 Mukherjee Street"|"90174"|POINT (-79.154201 39.3834313)|"PO Box 8654"|"Rahimiville"|"90174"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
874|"Daniel Martensson"|874|3||3074||3|20668|20668|3357.11|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(225) 555-0100"|"(225) 555-0101"|""|""|"http://www.microsoft.com/DanielMartensson/"|"Shop 21"|"622 Pavel Boulevard"|"90365"|POINT (-92.4192993 30.6338092)|"PO Box 9040"|"Poursokhville"|"90365"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
901|"Adrian Andreasson"|901|7||3101||3|9445|9445|3150.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(217) 555-0100"|"(217) 555-0101"|""|""|"http://www.microsoft.com/AdrianAndreasson/"|"Unit 21"|"837 Walker Road"|"90392"|POINT (-89.2361935 38.0114393)|"PO Box 923"|"Agafiteiville"|"90392"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
906|"Ajitaab Pakalapati"|906|5||3106||3|5506|5506|3638.25|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(209) 555-0100"|"(209) 555-0101"|""|""|"http://www.microsoft.com/AjitaabPakalapati/"|"Shop 11"|"1892 Clark Avenue"|"90494"|POINT (-119.8331965 36.5427271)|"PO Box 6426"|"Tonville"|"90494"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
916|"Pinja Jantunen"|916|6||3116||3|23734|23734|1470.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(308) 555-0100"|"(308) 555-0101"|""|""|"http://www.microsoft.com/PinjaJantunen/"|"Shop 26"|"660 Mottola Avenue"|"90091"|POINT (-95.9916752 40.8294461)|"PO Box 1501"|"Banhville"|"90091"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
919|"Kertu Sokk"|919|5||3119||3|14019|14019|3150.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(212) 555-0100"|"(212) 555-0101"|""|""|"http://www.microsoft.com/KertuSokk/"|"Shop 11"|"965 Horackova Lane"|"90718"|POINT (-75.3546233 43.681458)|"PO Box 501"|"Gyarmathiville"|"90718"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
926|"Richard Friar"|926|7||3126||3|24589|24589|2310.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(339) 555-0100"|"(339) 555-0101"|""|""|"http://www.microsoft.com/RichardFriar/"|"Shop 21"|"80 Gupta Avenue"|"90067"|POINT (-69.9911305 41.8651071)|"PO Box 6431"|"Thakurville"|"90067"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
944|"Ida Celma"|944|3||3144||3|14931|14931|4398.98|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(319) 555-0100"|"(319) 555-0101"|""|""|"http://www.microsoft.com/IdaCelma/"|"Suite 28"|"893 Habibi Lane"|"90577"|POINT (-96.4853085 42.9958216)|"PO Box 4308"|"Mishraville"|"90577"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
